AS,Sample,perc_mapping,mCpG,mCHG,mCHH
0.6,16C_26psu_1_S13_R1,52.90%,75.10%,1.00%,2.70%
0.6,16C_26psu_1_S13_R2,52.10%,75.10%,1.00%,2.70%
0.6,16C_32psu_4_S4_R1,56.40%,74.90%,1.00%,2.20%
0.6,16C_32psu_4_S4_R2,55.20%,74.90%,1.00%,2.10%
0.6,8C_26psu_2_S10_R1,55.90%,75.70%,1.00%,2.40%
0.6,8C_26psu_2_S10_R2,54.80%,75.80%,1.00%,2.60%
0.6,8C_32psu_3_S7_R1,52.70%,75.00%,1.00%,2.90%
0.6,8C_32psu_3_S7_R2,51.90%,75.30%,1.00%,3.00%
0.6,CTRL_8C_26psu_1_S17_R1,57.30%,75.70%,0.90%,2.00%
0.6,CTRL_8C_26psu_1_S17_R2,55.90%,75.30%,0.90%,2.20%
0.5,16C_26psu_1_S13_R1,50.30%,75.70%,0.90%,2.20%
0.5,16C_26psu_1_S13_R2,49.50%,75.50%,0.90%,2.20%
0.5,16C_32psu_4_S4_R1,53.60%,75.50%,0.90%,1.90%
0.5,16C_32psu_4_S4_R2,52.50%,75.40%,0.90%,1.80%
0.5,8C_26psu_2_S10_R1,53.70%,76.10%,0.90%,2.10%
0.5,8C_26psu_2_S10_R2,52.50%,76.30%,0.90%,2.20%
0.5,8C_32psu_3_S7_R1,50.40%,75.50%,0.90%,2.40%
0.5,8C_32psu_3_S7_R2,49.50%,75.80%,0.80%,2.40%
0.5,CTRL_8C_26psu_1_S17_R1,55.10%,76.20%,0.80%,1.70%
0.5,CTRL_8C_26psu_1_S17_R2,53.60%,75.80%,0.90%,1.90%
0.4,16C_26psu_1_S13_R1,47.60%,76.10%,0.80%,1.90%
0.4,16C_26psu_1_S13_R1,46.70%,76.10%,0.80%,1.90%
0.4,16C_32psu_4_S4_R2,50.80%,75.90%,0.80%,1.60%
0.4,16C_32psu_4_S4_R1,49.70%,75.80%,0.80%,1.50%
0.4,8C_26psu_2_S10_R2,51.20%,76.60%,0.80%,1.70%
0.4,8C_26psu_2_S10_R1,49.90%,76.70%,0.80%,1.80%
0.4,8C_32psu_3_S7_R2,47.90%,76.10%,0.80%,2.10%
0.4,8C_32psu_3_S7_R1,47.10%,76.20%,0.80%,2.00%
0.4,CTRL_8C_26psu_1_S17_R2,52.60%,76.60%,0.80%,1.40%
0.4,CTRL_8C_26psu_1_S17_R1,50.90%,76.30%,0.80%,1.50%
0.3,16C_26psu_1_S13_R2,44.80%,76.40%,0.70%,1.50%
0.3,16C_26psu_1_S13_R1,43.80%,76.40%,0.70%,1.40%
0.3,16C_32psu_4_S4_R2,47.90%,76.20%,0.70%,1.20%
0.3,16C_32psu_4_S4_R1,46.40%,76.20%,0.70%,1.20%
0.3,8C_26psu_2_S10_R2,48.50%,76.90%,0.70%,1.40%
0.3,8C_26psu_2_S10_R1,47.10%,77.20%,0.70%,1.50%
0.3,8C_32psu_3_S7_R1,45.20%,76.50%,0.70%,1.60%
0.3,8C_32psu_3_S7_R2,44.40%,76.70%,0.60%,1.60%
0.3,CTRL_8C_26psu_1_S17_R1,49.90%,77.00%,0.70%,1.20%
0.3,CTRL_8C_26psu_1_S17_R2,48.20%,76.60%,0.70%,1.30%
0.2,16C_26psu_1_S13_R1,41.40%,76.80%,0.60%,1.20%
0.2,16C_26psu_1_S13_R2,40.30%,76.70%,0.60%,1.20%
0.2,16C_32psu_4_S4_R1,44.10%,76.70%,0.70%,1.00%
0.2,16C_32psu_4_S4_R2,42.50%,76.70%,0.70%,1.00%
0.2,8C_26psu_2_S10_R1,45.20%,77.30%,0.60%,1.10%
0.2,8C_26psu_2_S10_R1,43.80%,77.60%,0.60%,1.30%
0.2,8C_32psu_3_S7_R2,42.00%,76.90%,0.60%,1.30%
0.2,8C_32psu_3_S7_R1,41.20%,77.00%,0.60%,1.30%
0.2,CTRL_8C_26psu_1_S17_R1,46.60%,77.50%,0.60%,1.00%
0.2,CTRL_8C_26psu_1_S17_R2,44.70%,77.10%,0.60%,1.10%